date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jul%202020%2017:09:41%20GMT	http://www.certifiedhacker.com/robots.txt		(from )
20:09:42	9660/9660	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Feb%202011%2011:01:38%20GMT	http://www.certifiedhacker.com/	/home/bill/websites/webTracker/www.certifiedhacker.com/index.html	(from )
20:09:43	474/474	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jul%202020%2017:09:43%20GMT	http://para.llel.us/favicon.ico	/home/bill/websites/webTracker/para.llel.us/favicon.0.delayed	(from http://www.certifiedhacker.com/)
20:09:44	1767/1767	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202011%2011:02:12%20GMT	http://www.certifiedhacker.com/css/reset.min.css	/home/bill/websites/webTracker/www.certifiedhacker.com/css/reset.min.css	(from http://www.certifiedhacker.com/)
20:09:45	2190/2190	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202011%2011:02:12%20GMT	http://www.certifiedhacker.com/css/menu.min.css	/home/bill/websites/webTracker/www.certifiedhacker.com/css/menu.min.css	(from http://www.certifiedhacker.com/)
20:09:46	3894/3894	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202011%2011:02:14%20GMT	http://www.certifiedhacker.com/css/fancybox.css	/home/bill/websites/webTracker/www.certifiedhacker.com/css/fancybox.css	(from http://www.certifiedhacker.com/)
20:09:47	5291/5291	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202011%2011:02:12%20GMT	http://www.certifiedhacker.com/css/tooltip.min.css	/home/bill/websites/webTracker/www.certifiedhacker.com/css/tooltip.min.css	(from http://www.certifiedhacker.com/)
20:09:48	23121/23121	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202011%2011:02:14%20GMT	http://www.certifiedhacker.com/css/default.css	/home/bill/websites/webTracker/www.certifiedhacker.com/css/default.css	(from http://www.certifiedhacker.com/)
20:09:54	5253/5253	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202011%2011:06:26%20GMT	http://www.certifiedhacker.com/js/jquery.easing.1.3.min.js	/home/bill/websites/webTracker/www.certifiedhacker.com/js/jquery.easing.1.3.min.js	(from http://www.certifiedhacker.com/)
20:09:56	28164/28164	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202011%2011:06:22%20GMT	http://www.certifiedhacker.com/js/jquery-ui-1.7.2.min.js	/home/bill/websites/webTracker/www.certifiedhacker.com/js/jquery-ui-1.7.2.min.js	(from http://www.certifiedhacker.com/)
20:09:56	69838/69838	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202011%2011:06:28%20GMT	http://www.certifiedhacker.com/js/jquery-1.4.min.js	/home/bill/websites/webTracker/www.certifiedhacker.com/js/jquery-1.4.min.js	(from http://www.certifiedhacker.com/)
